Image,TrialID,LoadStepID,Load_N,MarkerPair,d_X_px,d_Y_px,d_X_mm,d_Y_mm,Deformation_from_unloaded_X_mm,Deformation_from_unloaded_Y_mm,Deformation_from_first_loaded_X_mm,Deformation_from_first_loaded_Y_mm,Deformation_X_mm,Deformation_Y_mm
_APL3425.JPG,0,0,0,2->6,2980.935523523589,-355.2590057741472,175.71480001838785,-20.94116583928911,0.0,0.0,,,-0.15995820631339558,-1.4981058132329452
_APL3426.JPG,0,1,10,2->6,2983.0399194865286,-346.69236929351337,175.83884614849347,-20.43619523387142,0.12404613010560958,0.5049706054176898,0.0,0.0,-0.035912076207769886,-0.9931352078152559
_APL3427.JPG,0,2,20,2->6,2985.1017967062035,-330.7583340978754,175.96038596056206,-19.496944523551477,0.24558594217420068,1.4442213157376331,0.1215398120685911,0.9392507103199432,0.08562773586082055,-0.0538844974953131
_APL3428.JPG,0,3,30,2->6,2987.41350077429,-311.33984790615,176.09665211419738,-18.352298693102387,0.3818520958095322,2.5888671461867228,0.25780596570392267,2.0838965407690333,0.22189388949613925,1.0907613329537766
_APL3429.JPG,0,4,40,2->6,2990.744104085691,-285.7293944737937,176.2929784990471,-16.842659968032823,0.578178480659242,4.098505871256285,0.4541323505536324,3.5935352658385953,0.41822027434586556,2.600400058023341
_APL3430.JPG,1,0,0,2->6,2982.0183297878057,-340.4232252599477,175.77862732517596,-20.066653061136886,0.0,0.0,,,-0.0961308995252826,-0.6235930350807225
_APL3431.JPG,1,1,10,2->6,2983.9186537501014,-330.56067857609014,175.8906441877917,-19.48529348306135,0.11201686261574711,0.5813595780755334,0.0,0.0,0.015885963090463903,-0.04223345700518755
_APL3432.JPG,1,2,20,2->6,2985.2048175227737,-322.12587304686485,175.9664586454754,-18.988093810319057,0.18783132029944727,1.0785592508178294,0.07581445768370017,0.49719967274229604,0.09170042077415512,0.4549662157371065
_APL3433.JPG,1,3,30,2->6,2987.65984735473,-305.0684106712447,176.1111733072174,-17.982621344879615,0.3325459820414352,2.08403171625727,0.2205291194256881,1.5026721381817365,0.23641508251615545,1.4604386811765493
_APL3434.JPG,1,4,40,2->6,2991.254267370932,-283.67094183178665,176.32305068240547,-16.721322021779613,0.5444233572295012,3.345331039357273,0.432406494613754,2.763971461281739,0.44829245770422216,2.7217380042765504
_APL3435.JPG,2,0,0,2->6,2982.033400829011,-338.3533084750013,175.77951570567618,-19.944639347303976,0.0,0.0,,,-0.09524251902506838,-0.5015793212478125
_APL3436.JPG,2,1,10,2->6,2983.4852953761238,-329.95813211466566,175.8650993615387,-19.449775663190547,0.08558365586255182,0.49486368411342907,0.0,0.0,-0.009658863162532796,-0.006715637134382946
_APL3437.JPG,2,2,20,2->6,2984.9944807476786,-319.6033723379744,175.95406009338305,-18.839401997258637,0.17454438770688763,1.105237350045339,0.08896073184433581,0.6103736659319099,0.07930186868180537,0.6036580287975267
_APL3438.JPG,2,3,30,2->6,2987.7937185642973,-303.90466185639434,176.11906450534352,-17.91402278289819,0.33954879966734686,2.030616564405787,0.253965143804795,1.5357528802923581,0.2443062806422726,1.529037243157974
_APL3439.JPG,2,4,40,2->6,2990.9611380088195,-282.51538213062827,176.30577182251847,-16.653206176872526,0.5262561168422915,3.29143317043145,0.4406724609797396,2.796569486318021,0.4310135978172222,2.7898538491836375
_APL3440.JPG,3,0,0,2->6,2982.647580253095,-337.181311191709,175.81571924440644,-19.875554569511678,0.0,0.0,,,-0.05903898029480577,-0.4324945434555142
_APL3441.JPG,3,1,10,2->6,2983.5435139492506,-329.01380087538155,175.8685311247733,-19.394110931916593,0.052811880366886645,0.481443637595084,0.0,0.0,-0.006227099927931093,0.048949094139570604
_APL3442.JPG,3,2,20,2->6,2985.576129256403,-318.4889454576039,175.9883460585054,-18.77371077553508,0.17262681409896935,1.101843793976598,0.1198149337320827,0.6204001563815139,0.11358783380417019,0.6693492505210846
_APL3443.JPG,3,3,30,2->6,2987.772527194664,-303.8226020268644,176.11781535478394,-17.909185668367662,0.30209611037750883,1.9663689011440149,0.24928423001062217,1.4849252635489307,0.2430571300826993,1.5338743576885014
_APL3444.JPG,3,4,40,2->6,2990.3842814490727,-282.77267680595605,176.2717683245443,-16.66837271840429,0.4560490801378755,3.2071818511073915,0.4032371997709888,2.7257382135123076,0.3970100998430534,2.774687307651875
